Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_representativo,precio_min,precio_max,precio_skew,precio_metodo,area_m2_representativo,area_m2_min,area_m2_max,area_m2_skew,area_m2_metodo,PxM2_representativo,PxM2_min,PxM2_max,PxM2_skew,PxM2_metodo
Sep25,Gdl,Ven,Dep,Alcalde Barranquitas,8,3491307.5,2200000.0,4400000.0,-0.2130344633101942,mediana_rango,72.5,63.0,90.0,0.4546093684627329,mediana_rango,44760.35256410256,32835.82089552239,51223.880597014926,-0.7108524388696258,mediana_rango
Sep25,Gdl,Ven,Dep,Americana,83,4300000.0,1730484.0,8300000.0,0.5328749288540727,mediana_IQR,68.0,30.0,140.0,0.6281173494197724,mediana_IQR,63346.17073170732,40714.28571428572,106169.01408450704,0.8908177383915248,mediana_IQR
Sep25,Gdl,Ven,Dep,Arcos,15,3240000.0,2657000.0,4700000.0,0.8039805453083209,mediana_IQR,60.0,43.0,106.0,0.8454626407571281,mediana_IQR,54415.58441558442,40000.0,72888.88888888889,0.13464883961373822,mediana_IQR
Sep25,Gdl,Ven,Dep,Arcos Vallarta,96,4663647.5,1835350.0,15232689.0,2.491907051403747,mediana_IQR,70.5,33.0,154.0,0.6460768444356705,mediana_IQR,61873.07073205201,33375.0,119942.43307086614,1.1118474326472552,mediana_IQR
Sep25,Gdl,Ven,Dep,Artesanos (Sagrada Familia y/o Jesús),19,3450000.0,1999000.0,5200000.0,0.4978366592547437,mediana_IQR,74.0,50.0,140.0,1.4229577057426483,mediana_IQR,46621.62162162162,37142.857142857145,52457.94736842105,-0.47630354059856833,mediana_IQR
Sep25,Gdl,Ven,Dep,Ayuntamiento,15,4390000.0,2468829.0,5900000.0,0.061630207854586845,mediana_IQR,77.0,40.0,128.0,0.0818000933176322,mediana_IQR,48701.2987012987,44594.59459459459,66976.725,1.2965444585648704,mediana_IQR
Sep25,Gdl,Ven,Dep,Chapalita,36,5589916.5,2668666.0,11162611.0,1.5119647428864815,mediana_IQR,82.0,41.0,178.0,1.0483328108533945,mediana_IQR,64093.54155374887,37640.449438202246,120408.16326530612,1.1537516248986832,mediana_IQR
Sep25,Gdl,Ven,Dep,Chapultepec Country,18,5550000.0,2670112.0,6980000.0,-0.34677391621591364,mediana_IQR,91.0,39.0,130.0,-0.2509554480473155,mediana_IQR,59493.22142857143,46153.84615384616,68464.41025641025,-0.3408913285903267,mediana_IQR
Sep25,Gdl,Ven,Dep,Circunvalación Américas,16,6930000.0,3640075.0,9273000.0,-0.6032133023372135,mediana_IQR,110.0,57.0,144.0,-0.36528903946551844,mediana_IQR,65002.3049194991,60391.75968992248,86791.22535211267,1.6069390500436311,mediana_IQR
Sep25,Gdl,Ven,Dep,Circunvalación Vallarta,12,4425676.5,2694384.0,6335000.0,-0.03201405897467804,mediana_IQR,75.5,40.0,110.0,-0.06404725962348788,mediana_IQR,63899.04655870445,39090.90909090909,75446.26666666666,-1.61458631247373,mediana_IQR
Sep25,Gdl,Ven,Dep,Colinas de San Javier,12,6895000.0,4850000.0,9755896.0,0.28317720163026355,mediana_IQR,121.5,81.0,175.0,0.3859638532045397,mediana_IQR,56048.632218844985,48306.45161290323,72805.19402985074,0.5793107306435274,mediana_IQR
Sep25,Gdl,Ven,Dep,Colomos,8,6869111.5,4512500.0,8880000.0,-0.30388337505155555,mediana_rango,136.0,71.0,176.0,-0.5677588921295263,mediana_rango,54090.52511415524,48528.40909090909,64197.53086419753,0.6455877800235055,mediana_rango
