Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_min,precio_mean,precio_max,area_m2_min,area_m2_mean,area_m2_max,PxM2_min,PxM2_mean,PxM2_max
Sep25,Zap,Ren,Cas,Agrícola,1,17500.0,17500.0,17500.0,130.0,130.0,130.0,134.6153846,134.6153846,134.6153846
Sep25,Zap,Ren,Cas,Agua Blanca Sur,1,17500.0,17500.0,17500.0,89.0,89.0,89.0,196.6292135,196.6292135,196.6292135
Sep25,Zap,Ren,Cas,Altagracia,1,23500.0,23500.0,23500.0,211.0,211.0,211.0,111.3744076,111.3744076,111.3744076
Sep25,Zap,Ren,Cas,Arauca I,1,68000.0,68000.0,68000.0,293.0,293.0,293.0,232.0819113,232.0819113,232.0819113
Sep25,Zap,Ren,Cas,Arauca II,1,57500.0,57500.0,57500.0,300.0,300.0,300.0,191.6666667,191.6666667,191.6666667
Sep25,Zap,Ren,Cas,Arboreto Residencial,1,12500.0,12500.0,12500.0,97.0,97.0,97.0,128.8659794,128.8659794,128.8659794
Sep25,Zap,Ren,Cas,Arcos de Guadalupe,3,28000.0,41666.666666666664,59000.0,215.0,329.6666666666667,508.0,105.2631579,132.71635873333335,176.744186
Sep25,Zap,Ren,Cas,Armonía,1,18000.0,18000.0,18000.0,110.0,110.0,110.0,163.6363636,163.6363636,163.6363636
Sep25,Zap,Ren,Cas,Ayamonte,2,90000.0,114500.0,139000.0,600.0,713.5,827.0,150.0,159.03869405,168.0773881
Sep25,Zap,Ren,Cas,Base Aérea Militar No 5,2,29000.0,47000.0,65000.0,220.0,377.0,534.0,121.7228464,126.77051409999999,131.8181818
Sep25,Zap,Ren,Cas,Bellissimo,1,13000.0,13000.0,13000.0,124.0,124.0,124.0,104.8387097,104.8387097,104.8387097
Sep25,Zap,Ren,Cas,Bosques Vallarta,2,33000.0,33500.0,34000.0,210.0,228.5,247.0,137.6518219,147.3973395,157.1428571
Sep25,Zap,Ren,Cas,Bosques de San Gonzalo,1,13000.0,13000.0,13000.0,114.0,114.0,114.0,114.0350877,114.0350877,114.0350877
Sep25,Zap,Ren,Cas,Camino Real,1,22500.0,22500.0,22500.0,180.0,180.0,180.0,125.0,125.0,125.0
Sep25,Zap,Ren,Cas,Canteras del Centinela,1,16000.0,16000.0,16000.0,100.0,100.0,100.0,160.0,160.0,160.0
Sep25,Zap,Ren,Cas,Centro,1,29500.0,29500.0,29500.0,180.0,180.0,180.0,163.8888889,163.8888889,163.8888889
Sep25,Zap,Ren,Cas,Chapalita Sur,2,60000.0,62500.0,65000.0,281.0,360.5,440.0,136.3636364,183.8401812,231.316726
Sep25,Zap,Ren,Cas,Ciudad Bugambilias,1,60000.0,60000.0,60000.0,450.0,450.0,450.0,133.3333333,133.3333333,133.3333333
Sep25,Zap,Ren,Cas,Ciudad Granja,6,33000.0,40416.666666666664,43000.0,187.0,245.33333333333334,300.0,140.0,168.5432118,220.5128205
Sep25,Zap,Ren,Cas,Ciudad del Sol,4,35900.0,63725.0,95000.0,292.0,460.5,650.0,119.6666667,135.26220585000002,146.1538462
Sep25,Zap,Ren,Cas,Colegio del Aire,1,16000.0,16000.0,16000.0,100.0,100.0,100.0,160.0,160.0,160.0
Sep25,Zap,Ren,Cas,Colinas El Centinela,1,16500.0,16500.0,16500.0,90.0,90.0,90.0,183.3333333,183.3333333,183.3333333
