id,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,precio,longitud,latitud,PxM2,Fecha_Scrap
Zap-Puer_Cas-095K-481_03-04-04_ALTUR-10341-20715,Zap,Puerta de Hierro,Ren,Cas,481.0,95000.0,-103.41939,20.71553,197.50519750519751,
Zap-Coto_CasC-017K-158_03-02-02_GuiaE-10341-20788,Zap,Coto F2 Norte Sienna,Ren,CasC,158.0,17893.0,-103.413864,20.788189,113.24683544303798,
Zap-Vall_Cas-110K-604_05-05-06_VECOR-10345-20724,Zap,Valle Real,Ren,Cas,604.0,110000.0,-103.451245,20.72403,182.11920529801324,
Zap-Puer_CasC-060K-300_03-04-03_HHASE-10342-20717,Zap,Puerta de Hierro,Ren,CasC,300.0,60000.0,-103.421742,20.717687,200.0,
Zap-Pont_Cas-085K-725_04-04-04_GRUPO-10341-20713,Zap,Pontevedra,Ren,Cas,725.0,85000.0,-103.412118,20.713781,117.24137931034484,
Gdl-Colo_Cas-045K-285_03-02-03_Remax-10338-20704,Gdl,Colomos Providencia,Ren,Cas,285.0,45000.0,-103.384722,20.7043,157.89473684210526,
Zap-LasL_CasC-130K-590_05-06-06_GuiaE-10344-20711,Zap,Las Lomas Golf Hábitat,Ren,CasC,590.0,130000.0,-103.442631,20.711884,220.33898305084745,
Zap-Puer_Cas-035M-481_03-03-04_GRUPO-10342-20720,Zap,Puerta de Hierro,Ven,Cas,481.0,35000000.0,-103.421345,20.72017,72765.07276507276,
Zap-Vill_CasC-016K-094_04-03-02_Palom-10342-20654,Zap,Villas del Tepeyac,Ren,CasC,94.0,16500.0,-103.425106,20.654055,175.53191489361703,
Zap-Puer_Cas-095K-481_03-03-04_Capit-10342-20719,Zap,Puerta de Hierro,Ren,Cas,481.0,95000.0,-103.421597,20.719789,197.50519750519751,
Zap-Coto_CasC-016K-108_03-03-02_GRUPO-10342-20782,Zap,Coto Abie,Ren,CasC,108.0,16000.0,-103.422113,20.782322,148.14814814814815,
Zap-Cami_Cas-022K-180_03-03-01_ABRIE-10341-20673,Zap,Camino Real,Ren,Cas,180.0,22500.0,-103.410954,20.673193,125.0,
Zap-Sola_Cas-033K-214_04-04-02_ALIMA-10346-20724,Zap,Solares Antara,Ren,Cas,214.0,33000.0,-103.46698,20.724905,154.20560747663552,
Zap-Prad_Cas-033K-250_04-02-02_Habit-10341-20655,Zap,Prados Tepeyac,Ren,Cas,250.0,33000.0,-103.413485,20.655954,132.0,
Zap-Tepe_Cas-027K-230_03-02-02_Mural-10341-20658,Zap,Tepeyac Casino,Ren,Cas,230.0,27000.0,-103.416583,20.658655,117.3913043478261,
Zap-Vall_Cas-023K-220_04-05-02_GB00-10343-20783,Zap,Valle Imperial,Ren,Cas,220.0,23000.0,-103.437203,20.783904,104.54545454545456,
Zap-Puer_CasC-130K-550_05-06-05_CONST-10343-20706,Zap,Puerta Las Lomas,Ren,CasC,550.0,130000.0,-103.43585,20.706436,236.3636363636364,
Zap-Puer_CasC-120K-460_04-05-04_Marer-10343-20707,Zap,Puerta Las Lomas,Ren,CasC,460.0,120000.0,-103.436672,20.707306,260.8695652173913,
Zap-LaCe_CasC-120K-500_04-05-04_Grupo-10342-20716,Zap,La Ceiba,Ren,CasC,500.0,120000.0,-103.425205,20.716158,240.0,
Zap-LasF_Cas-060K-196_05-04-04_TOPTE-10342-20622,Zap,Las Fuentes,Ren,Cas,196.0,60000.0,-103.424667,20.622377,306.1224489795918,
Zap-Vict_Cas-037K-290_04-02-02_LEVAN-10339-20649,Zap,Victoria,Ren,Cas,290.0,37000.0,-103.399214,20.649463,127.58620689655172,
Zap-Guad_CasC-008M-207_03-04-03_CasaL-10349-20723,Zap,Guadalajara (Technology Park),Ven,CasC,207.0,8250000.0,-103.493098,20.723612,39855.07246376811,
Zap-Vall_Cas-004M-206_04-04-02_Anafa-10343-20780,Zap,Valle Imperial,Ven,Cas,206.0,4975000.0,-103.431629,20.780758,24150.485436893203,
Zap-Sola_Cas-028K-180_03-02-02_bonit-10346-20723,Zap,Solares Althea,Ren,Cas,180.0,28000.0,-103.467434,20.723774,155.55555555555554,
Zap-Ayam_Cas-090K-600_04-04-04_AAInm-10346-20675,Zap,Ayamonte,Ren,Cas,600.0,90000.0,-103.467073,20.675263,150.0,
Zap-Coli_Cas-069K-400_03-04-03_Mistr-10340-20696,Zap,Colinas de San Javier,Ren,Cas,400.0,69500.0,-103.40638,20.696618,173.75,
Zap-ElCa_Cas-013K-115_03-02-02_Inmue-10354-20738,Zap,El Campestre,Ren,Cas,115.0,13500.0,-103.54386,20.738411,117.3913043478261,
Zap-Vall_Cas-023K-210_04-03-02_CoruR-10343-20779,Zap,Valle Imperial,Ren,Cas,210.0,23450.0,-103.433237,20.779404,111.66666666666669,
Zap-Vall_CasC-090K-460_05-04-06_REALA-10344-20724,Zap,Valle Real,Ren,CasC,460.0,90000.0,-103.447018,20.724183,195.65217391304347,
Zap-Puer_Cas-080K-327_04-03-04_ALIMA-10341-20715,Zap,Puerta de Hierro,Ren,Cas,327.0,80000.0,-103.416654,20.715017,244.64831804281343,
Gdl-Ladr_Cas-055K-380_04-04-03_ALTUR-10337-20681,Gdl,Ladrón de Guevara,Ren,Cas,380.0,55000.0,-103.379779,20.681939,144.73684210526315,
Zap-SanJ_Cas-027K-140_03-02-02_VECOR-10345-20711,Zap,San Juan de Ocotán,Ren,Cas,140.0,27000.0,-103.457385,20.711496,192.8571428571429,
Zap-Bosq_CasC-030K-231_05-05-02_GuiaE-10347-20719,Zap,Bosques Vallarta,Ren,CasC,231.0,30000.0,-103.475147,20.719632,129.87012987012986,
Gdl-Coun_Cas-120K-550_03-04-04_Colum-10337-20710,Gdl,Country Club,Ren,Cas,550.0,120000.0,-103.373455,20.710892,218.1818181818182,
Zap-Coli_Cas-119K-532_03-04-04_Remax-10340-20700,Zap,Colinas de San Javier,Ren,Cas,532.0,119000.0,-103.403884,20.700623,223.68421052631575,
Zap-Roya_Cas-070K-260_04-04-04_Colum-10342-20708,Zap,Royal Country,Ren,Cas,260.0,70000.0,-103.422792,20.708151,269.2307692307692,
